date,national_avg_price_per_gallon,total_gallons_purchased,n_transactions,fuel_price_usd_per_barrel,fuel_price_rolling_7d,fuel_price_dod_pct_change,fuel_price_yoy_pct_change,day_of_week,week_of_year,month,is_month_end,is_quarter_end,is_us_holiday
2022-02-03,4.195266393642912,20462.2,164.0,79.25,4.195601413164531,0.24693358999199333,,Thursday,5,2,0,0,0
2022-02-04,4.172032406656098,24032.1,184.0,79.25,4.191836016136619,-0.553814342326886,,Friday,5,2,0,0,0
2022-02-05,4.178495666686434,23607.800000000003,189.0,79.25,4.193080884755447,0.15491873984545546,,Saturday,5,2,0,0,0
2022-02-06,4.220435099172707,20464.299999999996,170.0,79.25,4.201309511810357,1.0036969242457339,,Sunday,5,2,0,0,0
2022-02-07,4.167638034851805,23499.5,190.0,79.25,4.1927812460787885,-1.2509862864909516,,Monday,6,2,0,0,0
2022-02-08,4.164024312627291,21996.8,181.0,79.25,4.183260614784451,-0.08670911903324585,,Tuesday,6,2,0,0,0
2022-02-09,4.2411594430049915,20416.7,163.0,79.25,4.191293050948891,1.852417867585232,,Wednesday,6,2,0,0,0
2022-02-10,4.18984191296169,22114.4,180.0,79.25,4.190518125137288,-1.209988229231529,,Thursday,6,2,0,0,0
2022-02-11,4.161737233064592,18927.800000000003,151.0,79.25,4.189047386052787,-0.6707813917788408,,Friday,6,2,0,0,0
2022-02-12,4.1489808456968795,23112.3,188.0,79.25,4.184830983054279,-0.3065159248009319,,Saturday,6,2,0,0,0
2022-02-13,4.271961775659305,21776.700000000004,181.0,79.25,4.192191936838079,2.964123830313059,,Sunday,6,2,0,0,0
2022-02-14,4.216047571992126,25704.199999999997,203.0,79.25,4.199107585000982,-1.3088647933547914,,Monday,7,2,0,0,0
2022-02-15,4.198171347401209,23372.4,193.0,79.25,4.203985732825827,-0.42400433784647307,,Tuesday,7,2,0,0,0
2022-02-16,4.214012222600465,18506.699999999997,152.0,79.25,4.2001075584823235,0.3773279813617414,,Wednesday,7,2,0,0,0
2022-02-17,4.136500333293452,23402.8,187.0,79.25,4.192487332815433,-1.8393845393068098,,Thursday,7,2,0,0,0
2022-02-18,4.21254905294176,21176.1,169.0,79.25,4.199746164226457,1.8384797176544287,,Friday,7,2,0,0,0
2022-02-19,4.210202892433058,21794.8,178.0,79.25,4.208492170903053,-0.05569455641267762,,Saturday,7,2,0,0,0
2022-02-20,4.2069070653493466,21417.199999999997,187.0,79.25,4.199198640858774,-0.07828190630990717,,Sunday,7,2,0,0,0
2022-02-21,4.155071309795089,22731.800000000003,189.0,79.25,4.190487746259197,-1.232158323182575,,Monday,8,2,0,0,1
2022-02-22,4.196318366612545,23342.9,181.0,79.25,4.19022303471796,0.9926919116940658,,Tuesday,8,2,0,0,0
2022-02-23,4.129245223979606,23968.700000000004,195.0,79.25,4.178113463486407,-1.5983806940531142,,Wednesday,8,2,0,0,0
2022-02-24,4.223270559594941,21606.699999999997,163.0,79.25,4.190509210100907,2.2770586515256097,,Thursday,8,2,0,0,0
2022-02-25,4.183730136447863,21370.800000000003,167.0,79.25,4.18639222203035,-0.9362512438907178,,Friday,8,2,0,0,0
2022-02-26,4.1545897188968395,24090.800000000003,190.0,79.25,4.1784474829537475,-0.6965176194601574,,Saturday,8,2,0,0,0
2022-02-27,4.259404330038416,22438.600000000002,178.0,79.25,4.185947092195042,2.522863104022899,,Sunday,8,2,0,0,0
2022-02-28,4.215376173913832,22052.300000000003,172.0,79.25,4.194562072783435,-1.0336693282224085,,Monday,9,2,1,0,0
2022-03-01,4.181207025205203,19968.1,155.0,79.25,4.192403309725243,-0.8105836181377835,,Tuesday,9,3,0,0,0
2022-03-02,4.2125634133978505,23476.899999999998,189.0,79.25,4.204305908213564,0.7499362744687099,,Wednesday,9,3,0,0,0
2022-03-03,4.272910000581767,24064.6,192.0,79.25,4.2113972569259674,1.4325383682531,,Thursday,9,3,0,0,0
2022-03-04,4.155969647934631,23668.9,179.0,79.25,4.207431472852648,-2.7367848288687213,,Friday,9,3,0,0,0
2022-03-05,4.209738997668517,24233.5,189.0,79.25,4.215309941248603,1.2937859101210591,,Saturday,9,3,0,0,0
2022-03-06,4.233706123352896,22577.5,179.0,79.25,4.211638768864956,0.5693256921070811,,Sunday,9,3,0,0,0
2022-03-07,4.256422298005297,20995.6,165.0,79.25,4.217502500878023,0.5365553014438085,,Monday,10,3,0,0,0
2022-03-08,4.235313383021843,24029.700000000004,196.0,79.25,4.2252319805661145,-0.49593093695956547,,Tuesday,10,3,0,0,0
2022-03-09,4.198893275678385,23935.5,190.0,79.25,4.223279103749048,-0.8599152896089368,,Wednesday,10,3,0,0,0
2022-03-10,4.189662602335689,21766.6,171.0,79.25,4.211386618285323,-0.21983586475425865,,Thursday,10,3,0,0,0
2022-03-11,4.176990731130585,22160.2,172.0,79.25,4.214389630170459,-0.30245564876845155,,Friday,10,3,0,0,0
2022-03-12,4.170645122617255,22521.300000000003,186.0,79.25,4.208804790877421,-0.1519181851670659,,Saturday,10,3,0,0,0
2022-03-13,4.1993622131633845,20900.399999999998,171.0,79.25,4.203898517993205,0.6885527227046273,,Sunday,10,3,0,0,0
2022-03-14,4.126813193645662,19300.2,153.0,79.25,4.185382931656115,-1.7276199535803283,,Monday,11,3,0,0,0
2022-03-15,4.24360364022311,17713.2,152.0,79.25,4.186567254113439,2.830039575265464,,Tuesday,11,3,0,0,0
2022-03-16,4.109367370289286,22199.4,176.0,79.25,4.173777839057854,-3.163261258932437,,Wednesday,11,3,0,0,0
2022-03-17,4.208360602647822,20688.7,164.0,79.25,4.176448981959586,2.408965260060625,,Thursday,11,3,0,0,0
2022-03-18,4.1603315652129425,23452.4,185.0,79.25,4.174069101114209,-1.1412766625716664,,Friday,11,3,0,0,0
2022-03-19,4.222511109344217,22638.6,184.0,79.25,4.181478527789489,1.4945814571895033,,Saturday,11,3,0,0,0
2022-03-20,4.14451813941373,20731.100000000002,165.0,79.25,4.173643660110967,-1.847075541326404,,Sunday,11,3,0,0,0
2022-03-21,4.239005635348907,18401.700000000004,142.0,79.25,4.18967115178286,2.2798186123645037,,Monday,12,3,0,0,0
2022-03-22,4.175310878040333,21366.9,173.0,79.25,4.179915042899606,-1.5025872288874975,,Tuesday,12,3,0,0,0
2022-03-23,4.1639298741256034,20671.4,169.0,79.25,4.187709686304793,-0.27257859946638874,,Wednesday,12,3,0,0,0
2022-03-24,4.192579532216149,22318.0,181.0,79.25,4.1854552476716975,0.6880437220754487,,Thursday,12,3,0,0,0
2022-03-25,4.194097630810927,23539.7,192.0,79.25,4.190278971328552,0.03620917821864911,,Friday,12,3,0,0,0
2022-03-26,4.169688630108945,21983.5,173.0,79.25,4.182732902866371,-0.5819845614147612,,Saturday,12,3,0,0,0
2022-03-27,4.149993868014294,23646.5,184.0,79.25,4.183515149809308,-0.4723317216647205,,Sunday,12,3,0,0,0
2022-03-28,4.266729827885677,20898.9,173.0,79.25,4.187475748743132,2.812918852028079,,Monday,13,3,0,0,0
2022-03-29,4.204211443995506,23858.800000000003,195.0,79.25,4.191604401022444,-1.465252931684946,,Tuesday,13,3,0,0,0
2022-03-30,4.196909470840281,23688.5,184.0,79.25,4.196315771981682,-0.17368234810486438,,Wednesday,13,3,0,0,0
2022-03-31,4.2307435627955865,19030.0,156.0,79.25,4.201767776350174,0.806166828004784,,Thursday,13,3,1,1,0
2022-04-01,4.1373270953828944,22165.399999999998,169.0,79.25,4.193657699860455,-2.208038989509553,,Friday,13,4,0,0,0
2022-04-02,4.245685868040288,23878.5,184.0,79.25,4.2045144481363605,2.619052595051463,,Saturday,13,4,0,0,0
2022-04-03,4.197184334593661,21423.0,178.0,79.25,4.2112559433619845,-1.1423721620981264,,Sunday,13,4,0,0,0
2022-04-04,4.220215828929038,22610.5,181.0,79.25,4.204611086368179,0.5487367839803525,,Monday,14,4,0,0,0
2022-04-05,4.240632080710472,24670.9,201.0,79.25,4.209814034470317,0.483772693365192,,Tuesday,14,4,0,0,0
2022-04-06,4.217489475126423,20071.5,166.0,79.25,4.212754035082623,-0.5457348136688966,,Wednesday,14,4,0,0,0
2022-04-07,4.1612325973376745,22604.300000000003,187.0,79.25,4.202823897160064,-1.3338949183047455,,Thursday,14,4,0,0,0
2022-04-08,4.181738996000765,24579.699999999997,202.0,79.25,4.209168454391189,0.4927962612859105,,Friday,14,4,0,0,0
2022-04-09,4.15915329669863,23547.800000000003,184.0,79.25,4.1968066584852375,-0.5401030366489756,,Saturday,14,4,0,0,0
2022-04-10,4.213384007270981,23325.6,180.0,79.25,4.1991208974391405,1.303888236468631,,Sunday,14,4,0,0,0
2022-04-11,4.236747812287985,17392.6,145.0,79.25,4.201482609347562,0.5545140195312159,,Monday,15,4,0,0,0
2022-04-12,4.244394514329717,19738.7,160.0,79.25,4.202020099864597,0.18048518298763305,,Tuesday,15,4,0,0,0
2022-04-13,4.156938189988951,21540.199999999997,173.0,79.25,4.193369916273529,-2.0605135560679,,Wednesday,15,4,0,0,0
2022-04-14,4.22035277184262,22371.4,179.0,79.25,4.201815655488521,1.5255117818780306,,Thursday,15,4,0,0,0
2022-04-15,4.193703662098406,23145.199999999997,175.0,79.25,4.20352489350247,-0.6314427059750161,,Friday,15,4,0,0,0
2022-04-16,4.195542568791511,23186.0,183.0,79.25,4.20872336094431,0.04384922830207305,,Saturday,15,4,0,0,0
2022-04-17,4.156058336270708,22696.0,182.0,79.25,4.2005339793728425,-0.9410995568131408,,Sunday,15,4,0,0,0
2022-04-18,4.198662925518964,25054.7,195.0,79.25,4.195093281262983,1.025120097002441,,Monday,16,4,0,0,0
2022-04-19,4.209692927237294,23193.2,184.0,79.25,4.19013591167835,0.2627027202229071,,Tuesday,16,4,0,0,0
2022-04-20,4.1799262493458915,24460.800000000003,203.0,79.25,4.193419920157914,-0.7070985557831921,,Wednesday,16,4,0,0,0
2022-04-21,4.18103673050866,27307.0,209.0,79.25,4.18780334282449,0.02656700373464549,,Thursday,16,4,0,0,0
2022-04-22,4.137253794913701,20191.5,160.0,79.25,4.179739076083819,-1.0471789275487309,,Friday,16,4,0,0,0
2022-04-23,4.2224728682511286,22750.1,185.0,79.25,4.183586261720907,2.0597980583689335,,Saturday,16,4,0,0,0
2022-04-24,4.252518268467037,25180.0,202.0,79.25,4.197366252034668,0.7115593433843159,,Sunday,16,4,0,0,0
2022-04-25,4.175438953214722,26557.5,206.0,79.25,4.194048541705491,-1.8125569459364388,,Monday,17,4,0,0,0
2022-04-26,4.241815429307911,24440.5,188.0,79.25,4.198637470572722,1.5896885773430958,,Tuesday,17,4,0,0,0
2022-04-27,4.191991119432382,19548.299999999996,155.0,79.25,4.200361023442221,-1.1745987232560484,,Wednesday,17,4,0,0,0
2022-04-28,4.17487676904061,20145.100000000002,158.0,79.25,4.199481028946785,-0.40826304026353455,,Thursday,17,4,0,0,0
2022-04-29,4.211728923808737,22998.699999999997,182.0,79.25,4.210120333074647,0.8827123962414696,,Friday,17,4,0,0,0
2022-04-30,4.21010895334174,19825.0,159.0,79.25,4.208354059516163,-0.03846331272270298,,Saturday,17,4,1,0,0
2022-05-01,4.110343369363944,15607.1,123.0,79.25,4.1880433596442925,-2.369667509402751,,Sunday,17,5,0,0,0
2022-05-02,4.1878444105526755,22883.299999999996,185.0,79.25,4.189815567835429,1.885512577036219,,Monday,18,5,0,0,0
2022-05-03,4.13984876301155,22441.6,186.0,79.25,4.1752489012216625,-1.146070456203785,,Tuesday,18,5,0,0,0
2022-05-04,4.245781357643297,23079.699999999997,183.0,79.25,4.1829332209660794,2.558851801018114,,Wednesday,18,5,0,0,0
2022-05-05,4.2133187494521085,25096.2,204.0,79.25,4.188424932453436,-0.7645850187916303,,Thursday,18,5,0,0,0
2022-05-06,4.20841549806529,25507.7,199.0,79.25,4.1879515859186585,-0.1163750401617758,,Friday,18,5,0,0,0
2022-05-07,4.203455142413503,25310.1,197.0,79.25,4.187001041500339,-0.11786753598990174,,Saturday,18,5,0,0,0
2022-05-08,4.206828780268692,24489.0,202.0,79.25,4.200784671629588,0.08025868579275564,,Sunday,18,5,0,0,0
2022-05-09,4.17459610579183,16167.600000000002,131.0,79.25,4.198892056663753,-0.7661988676136211,,Monday,19,5,0,0,0
2022-05-10,4.21165002188358,22619.7,186.0,79.25,4.209149379359757,0.8876048161962746,,Tuesday,19,5,0,0,0
2022-05-11,4.1531372557535535,23024.9,186.0,79.25,4.1959145076612225,-1.3893074169505137,,Wednesday,19,5,0,0,0
2022-05-12,4.212558212447714,26154.199999999997,204.0,79.25,4.195805859517738,1.4307486855109852,,Thursday,19,5,0,0,0
2022-05-13,4.238538445588381,22184.6,184.0,79.25,4.200109137735322,0.6167329169220359,,Friday,19,5,0,0,0
2022-05-14,4.154743225460367,23861.4,186.0,79.25,4.193150292456302,-1.9769838401544226,,Saturday,19,5,0,0,0
2022-05-15,4.30012785617697,23072.8,185.0,79.25,4.206478731871771,3.499244666329382,,Sunday,19,5,0,0,0
2022-05-16,4.23082034173607,25118.8,204.0,79.25,4.2145107655780905,-1.611754737509541,,Monday,20,5,0,0,0
2022-05-17,4.230117161601869,20211.399999999998,172.0,79.25,4.217148928394989,-0.016620420566304528,,Tuesday,20,5,0,0,0
2022-05-18,4.229104018524108,26171.3,217.0,79.25,4.228001323076497,-0.023950709615261356,,Wednesday,20,5,0,0,0
2022-05-19,4.17977014022546,27277.500000000004,221.0,79.25,4.223317312759032,-1.166532629194228,,Thursday,20,5,0,0,0
2022-05-20,4.245544102702367,24108.5,191.0,79.25,4.224318120918173,1.5736263064781708,,Friday,20,5,0,0,0
2022-05-21,4.247874902310026,22008.4,174.0,79.25,4.237622646182411,0.0548999033168851,,Saturday,20,5,0,0,0
2022-05-22,4.2350012825894305,17152.800000000003,134.0,79.25,4.228318849955619,-0.3030602363924384,,Sunday,20,5,0,0,0
2022-05-23,4.224937568034833,21863.800000000003,163.0,79.25,4.2274784537125845,-0.23763191279233542,,Monday,21,5,0,0,0
2022-05-24,4.158167384418621,20016.199999999997,157.0,79.25,4.217199914114977,-1.5803827285255978,,Tuesday,21,5,0,0,0
2022-05-25,4.182066799624051,21811.5,175.0,79.25,4.21048031141497,0.5747583730030925,,Wednesday,21,5,0,0,0
2022-05-26,4.133336055357373,23267.0,189.0,79.25,4.203846870719529,-1.165231130958,,Thursday,21,5,0,0,0
2022-05-27,4.111994562279561,18684.3,141.0,79.25,4.184768364944842,-0.5163261054022095,,Friday,21,5,0,0,0
2022-05-28,4.18414619434351,20723.1,171.0,79.25,4.175664263806769,1.754662633210069,,Saturday,21,5,0,0,0
2022-05-29,4.306085377422415,18447.5,152.0,79.25,4.185819134497195,2.9143145916782798,,Sunday,21,5,0,0,0
2022-05-30,4.244143920595534,18941.0,157.0,79.25,4.188562899148724,-1.4384632769162131,,Monday,22,5,0,0,1
2022-05-31,4.155470077040251,18250.200000000004,151.0,79.25,4.188177569523242,-2.089322257074655,,Tuesday,22,5,1,0,0
2022-06-01,4.149982530524368,21179.8,169.0,79.25,4.183594102509002,-0.1320559747548744,,Wednesday,22,6,0,0,0
2022-06-02,4.164951986239216,22149.899999999994,180.0,79.25,4.188110664063551,0.36071129467998286,,Thursday,22,6,0,0,0
2022-06-03,4.217915902834844,17401.300000000003,143.0,79.25,4.203242284142877,1.271657314913055,,Friday,22,6,0,0,0
2022-06-04,4.203372778866114,18836.1,156.0,79.25,4.205988939074677,-0.34479407137908424,,Saturday,22,6,0,0,0
2022-06-05,4.188200618017589,18931.5,146.0,79.25,4.189148259159702,-0.36095206508467426,,Sunday,22,6,0,0,0
2022-06-06,4.2263015025730315,20850.899999999994,164.0,79.25,4.186599342299345,0.9097196631778548,,Monday,23,6,0,0,0
2022-06-07,4.194059050107607,23651.1,189.0,79.25,4.192112052737539,-0.762899959829999,,Tuesday,23,6,0,0,0
2022-06-08,4.214944092966507,23440.699999999997,192.0,79.25,4.201392275943559,0.49796730588149707,,Wednesday,23,6,0,0,0
2022-06-09,4.165844436739478,24226.800000000003,194.0,79.25,4.201519768872167,-1.1648946022549178,,Thursday,23,6,0,0,0
2022-06-10,4.26135333467366,21885.2,183.0,79.25,4.207725116277713,2.2926659740788224,,Friday,23,6,0,0,0
2022-06-11,4.17028729338932,23195.8,182.0,79.25,4.202998618352456,-2.137021601643696,,Saturday,23,6,0,0,0
2022-06-12,4.168870122774313,24891.200000000004,202.0,79.25,4.200237119031988,-0.033982565595758185,,Sunday,23,6,0,0,0
2022-06-13,4.232143229709993,23006.4,183.0,79.25,4.201071651480126,1.5177519345115353,,Monday,24,6,0,0,0
2022-06-14,4.233601726114813,27298.3,213.0,79.25,4.20672060519544,0.03446235927415664,,Tuesday,24,6,0,0,0
2022-06-15,4.190313993940074,22277.5,186.0,79.25,4.203202019620235,-1.0224800294208136,,Wednesday,24,6,0,0,0
2022-06-16,4.191531087269024,21008.6,174.0,79.25,4.206871541124457,0.02904539685355534,,Thursday,24,6,0,0,0
2022-06-17,4.234427613723352,21554.5,178.0,79.25,4.203025009560127,1.02340947880879,,Friday,24,6,0,0,0
2022-06-18,4.19967231090937,23528.399999999994,187.0,79.25,4.207222869205848,-0.82077924065449,,Saturday,24,6,0,0,0
2022-06-19,4.185998329086076,23819.300000000003,198.0,79.25,4.209669755821815,-0.32559639921840855,,Sunday,24,6,0,0,1
2022-06-20,4.195052096743739,23302.8,184.0,79.25,4.204371022540921,0.21628693912161268,,Monday,25,6,0,0,1
2022-06-21,4.209103831180158,26944.699999999997,220.0,79.25,4.2008713232645425,0.33495971235557587,,Tuesday,25,6,0,0,0
2022-06-22,4.192614143384145,21740.2,170.0,79.25,4.201199916042267,-0.39176243821453793,,Wednesday,25,6,0,0,0
2022-06-23,4.1797626171952915,24062.4,199.0,79.25,4.199518706031733,-0.30652775927718645,,Thursday,25,6,0,0,0
2022-06-24,4.215650240563592,19475.1,157.0,79.25,4.196836224151768,0.858604343238567,,Friday,25,6,0,0,0
2022-06-25,4.174789260333453,23583.6,190.0,79.25,4.1932815026409225,-0.9692687461822391,,Saturday,25,6,0,0,0
2022-06-26,4.173944916131704,24145.0,187.0,79.25,4.191559586504583,-0.02022483409572784,,Sunday,25,6,0,0,0
2022-06-27,4.17506831651251,20163.5,168.0,79.25,4.188704760757266,0.026914595266069874,,Monday,26,6,0,0,0
2022-06-28,4.170217530221334,18935.3,155.0,79.25,4.183149574906005,-0.11618459683621074,,Tuesday,26,6,0,0,0
2022-06-29,4.17366115317615,23191.6,184.0,79.25,4.180442004876291,0.08257657855641476,,Wednesday,26,6,0,0,0
2022-06-30,4.207206817126736,22402.4,180.0,79.25,4.1843626048664975,0.8037467038994883,,Thursday,26,6,1,1,0
2022-07-01,4.25790676080681,21754.800000000003,172.0,79.25,4.1903992506155285,1.2050737195443695,,Friday,26,7,0,0,0
2022-07-02,4.215033940723008,23894.600000000002,200.0,79.25,4.196148490671179,-1.0068989879824852,,Saturday,26,7,0,0,0
2022-07-03,4.235753591836914,22697.300000000003,187.0,79.25,4.204978301486208,0.49156546317992156,,Sunday,26,7,0,0,0
2022-07-04,4.132462913610528,21200.5,174.0,79.25,4.198891815357355,-2.4385431302105465,,Monday,27,7,0,0,1
2022-07-05,4.253596713534574,22175.8,176.0,79.25,4.210803127259246,2.9312737332761962,,Tuesday,27,7,0,0,0
2022-07-06,4.21473687263166,20689.600000000006,165.0,79.25,4.216671087181461,-0.9135760515157743,,Wednesday,27,7,0,0,0
2022-07-07,4.135721621483984,23563.6,181.0,79.25,4.206458916375354,-1.8747374637017256,,Thursday,27,7,0,0,0
2022-07-08,4.170443894201579,21081.6,168.0,79.25,4.193964221146035,0.8395698718507205,,Friday,27,7,0,0,0
2022-07-09,4.191769537700147,21377.9,174.0,79.25,4.190640734999912,0.511351885784106,,Saturday,27,7,0,0,0
2022-07-10,4.1386995796440385,20125.8,161.0,79.25,4.176775876115216,-1.266051427179038,,Sunday,27,7,0,0,0
2022-07-11,4.142174973432736,24560.299999999996,197.0,79.25,4.178163313232674,0.08397308675873738,,Monday,28,7,0,0,0
2022-07-12,4.122408411903298,24574.700000000004,201.0,79.25,4.159422127285349,-0.4772024759025717,,Tuesday,28,7,0,0,0
2022-07-13,4.256696534349447,20680.1,163.0,79.25,4.165416364673605,3.257516214511824,,Wednesday,28,7,0,0,0
2022-07-14,4.21295147943574,19480.4,159.0,79.25,4.176449201523855,-1.027676146530665,,Thursday,28,7,0,0,0
2022-07-15,4.233277877296071,23502.100000000006,189.0,79.25,4.185425484823068,0.48247405552965805,,Friday,28,7,0,0,0
2022-07-16,4.175128006427658,21034.1,159.0,79.25,4.183048123212712,-1.3736369913319835,,Saturday,28,7,0,0,0
2022-07-17,4.196070057754421,24985.100000000002,197.0,79.25,4.191243905799911,0.5015906409222115,,Sunday,28,7,0,0,0
2022-07-18,4.1850003943459555,22822.6,180.0,79.25,4.197361823073227,-0.2638102618903848,,Monday,29,7,0,0,0
2022-07-19,4.184543504831307,21681.5,169.0,79.25,4.206238264920086,-0.010917311149261089,,Tuesday,29,7,0,0,0
2022-07-20,4.165446526601783,21494.8,170.0,79.25,4.193202549527562,-0.45636945123107564,,Wednesday,29,7,0,0,0
2022-07-21,4.269045577497657,22625.2,181.0,79.25,4.201215992107836,2.4871055296055156,,Thursday,29,7,0,0,0
2022-07-22,4.137972031220962,21524.0,176.0,79.25,4.1876008712399635,-3.070324359327281,,Friday,29,7,0,0,0
2022-07-23,4.178614990859232,20512.5,164.0,79.25,4.188099011873045,0.9821951267823703,,Saturday,29,7,0,0,0
2022-07-24,4.234278889478155,23192.699999999997,190.0,79.25,4.193557416405008,1.3321136008148216,,Sunday,29,7,0,0,0
2022-07-25,4.174475255720452,23678.199999999997,188.0,79.25,4.192053825172793,-1.4123687956952957,,Monday,30,7,0,0,0
2022-07-26,4.170115838891458,25518.2,206.0,79.25,4.1899927300385285,-0.10443029511363333,,Tuesday,30,7,0,0,0
2022-07-27,4.1609431510319155,22700.5,179.0,79.25,4.1893493906714045,-0.21996242344146655,,Wednesday,30,7,0,0,0
2022-07-28,4.134441528009882,22020.8,179.0,79.25,4.17012024074458,-0.6369138452531176,,Thursday,30,7,0,0,0
2022-07-29,4.174187465484962,22272.9,179.0,79.25,4.1752938742108645,0.9613375157396797,,Friday,30,7,0,0,0
2022-07-30,4.197722315264899,24481.0,192.0,79.25,4.178023491983104,0.5638187066234979,,Saturday,30,7,0,0,0
2022-07-31,4.27216822215815,25318.9,196.0,79.25,4.1834362537945315,1.7734833631688929,,Sunday,30,7,1,0,0
2022-08-01,4.095356250050563,24721.4,196.0,79.25,4.172133538698833,-4.138694052133274,,Monday,31,8,0,0,0
2022-08-02,4.196628397035314,27524.0,215.0,79.25,4.175921047005098,2.4728531732373993,,Tuesday,31,8,0,0,0
2022-08-03,4.222331076213803,24293.5,191.0,79.25,4.184690750602511,0.6124602120274991,,Wednesday,31,8,0,0,0
2022-08-04,4.187608060262781,25899.899999999998,208.0,79.25,4.192285969495782,-0.8223660183028003,,Thursday,31,8,0,0,0
2022-08-05,4.199635602418979,25796.0,207.0,79.25,4.195921417629213,0.28721747554003585,,Friday,31,8,0,0,0
2022-08-06,4.166071333226546,26220.6,207.0,79.25,4.191399848766591,-0.7992186077549257,,Saturday,31,8,0,0,0
2022-08-07,4.2777192757707745,23418.0,195.0,79.25,4.192192856425537,2.6799335300329297,,Sunday,31,8,0,0,0
2022-08-08,4.167873564880418,27663.200000000004,210.0,79.25,4.202552472829802,-2.5678569305033205,,Monday,32,8,0,0,0
