order_date,arrival_date,dc_id,sku,pack_type,manufacturer_id,pallets_ordered,lead_time_days
2024-09-18,2024-09-21,FAC00001,MI-002,Carton,MFG-003,2,3
2024-09-19,2024-09-22,FAC00001,MI-002,Carton,MFG-003,1,3
2024-10-03,2024-10-06,FAC00001,MI-002,Carton,MFG-003,11,3
2024-10-05,2024-10-08,FAC00001,MI-002,Carton,MFG-003,1,3
2024-10-16,2024-10-19,FAC00001,MI-002,Carton,MFG-003,11,3
2024-10-17,2024-10-20,FAC00001,MI-002,Carton,MFG-003,1,3
2024-10-31,2024-11-03,FAC00001,MI-002,Carton,MFG-003,11,3
2024-11-01,2024-11-04,FAC00001,MI-002,Carton,MFG-003,2,3
2024-11-12,2024-11-15,FAC00001,MI-002,Carton,MFG-003,11,3
2024-11-13,2024-11-16,FAC00001,MI-002,Carton,MFG-003,2,3
2024-11-14,2024-11-17,FAC00001,MI-002,Carton,MFG-003,1,3
2024-11-27,2024-11-30,FAC00001,MI-002,Carton,MFG-003,11,3
2024-11-28,2024-12-01,FAC00001,MI-002,Carton,MFG-003,2,3
2024-12-13,2024-12-16,FAC00001,MI-002,Carton,MFG-003,11,3
2024-12-14,2024-12-17,FAC00001,MI-002,Carton,MFG-003,2,3
2024-12-15,2024-12-18,FAC00001,MI-002,Carton,MFG-003,1,3
2024-12-29,2025-01-01,FAC00001,MI-002,Carton,MFG-003,12,3
2024-12-30,2025-01-02,FAC00001,MI-002,Carton,MFG-003,2,3
2023-03-26,2023-03-29,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-03-28,2023-03-31,FAC00001,MI-002,Multipack,MFG-003,2,3
2023-04-10,2023-04-13,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-04-12,2023-04-15,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-04-28,2023-05-01,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-04-29,2023-05-02,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-05-12,2023-05-15,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-05-13,2023-05-16,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-05-14,2023-05-17,FAC00001,MI-002,Multipack,MFG-003,2,3
2023-05-23,2023-05-26,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-06-03,2023-06-06,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-06-04,2023-06-07,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-06-05,2023-06-08,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-06-18,2023-06-21,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-06-19,2023-06-22,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-06-30,2023-07-03,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-07-01,2023-07-04,FAC00001,MI-002,Multipack,MFG-003,2,3
2023-07-02,2023-07-05,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-07-17,2023-07-20,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-07-18,2023-07-21,FAC00001,MI-002,Multipack,MFG-003,2,3
2023-07-19,2023-07-22,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-08-05,2023-08-08,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-08-06,2023-08-09,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-08-22,2023-08-25,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-08-24,2023-08-27,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-09-11,2023-09-14,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-09-12,2023-09-15,FAC00001,MI-002,Multipack,MFG-003,2,3
2023-09-13,2023-09-16,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-09-24,2023-09-27,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-09-25,2023-09-28,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-10-07,2023-10-10,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-10-08,2023-10-11,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-10-23,2023-10-26,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-10-24,2023-10-27,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-11-12,2023-11-15,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-11-13,2023-11-16,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-11-14,2023-11-17,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-11-23,2023-11-26,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-11-24,2023-11-27,FAC00001,MI-002,Multipack,MFG-003,2,3
2023-11-25,2023-11-28,FAC00001,MI-002,Multipack,MFG-003,1,3
2023-12-11,2023-12-14,FAC00001,MI-002,Multipack,MFG-003,12,3
2023-12-23,2023-12-26,FAC00001,MI-002,Multipack,MFG-003,11,3
2023-12-25,2023-12-28,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-01-13,2024-01-16,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-01-14,2024-01-17,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-01-28,2024-01-31,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-01-29,2024-02-01,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-01-30,2024-02-02,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-02-07,2024-02-10,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-02-08,2024-02-11,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-02-09,2024-02-12,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-02-22,2024-02-25,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-02-23,2024-02-26,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-02-24,2024-02-27,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-03-06,2024-03-09,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-03-08,2024-03-11,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-03-23,2024-03-26,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-03-24,2024-03-27,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-04-07,2024-04-10,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-04-08,2024-04-11,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-04-09,2024-04-12,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-04-21,2024-04-24,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-04-22,2024-04-25,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-04-23,2024-04-26,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-05-06,2024-05-09,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-05-07,2024-05-10,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-05-23,2024-05-26,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-05-24,2024-05-27,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-05-25,2024-05-28,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-06-13,2024-06-16,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-06-14,2024-06-17,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-06-15,2024-06-18,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-06-25,2024-06-28,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-06-27,2024-06-30,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-07-08,2024-07-11,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-07-09,2024-07-12,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-07-19,2024-07-22,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-07-20,2024-07-23,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-07-28,2024-07-31,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-07-29,2024-08-01,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-07-30,2024-08-02,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-08-09,2024-08-12,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-08-23,2024-08-26,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-08-24,2024-08-27,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-09-08,2024-09-11,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-09-25,2024-09-28,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-10-05,2024-10-08,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-10-07,2024-10-10,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-10-22,2024-10-25,FAC00001,MI-002,Multipack,MFG-003,12,3
2024-11-03,2024-11-06,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-11-04,2024-11-07,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-11-23,2024-11-26,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-11-24,2024-11-27,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-11-25,2024-11-28,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-12-07,2024-12-10,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-12-08,2024-12-11,FAC00001,MI-002,Multipack,MFG-003,1,3
2024-12-09,2024-12-12,FAC00001,MI-002,Multipack,MFG-003,2,3
2024-12-22,2024-12-25,FAC00001,MI-002,Multipack,MFG-003,11,3
2024-12-23,2024-12-26,FAC00001,MI-002,Multipack,MFG-003,2,3
2023-03-31,2023-04-03,FAC00001,MI-002,Single,MFG-003,11,3
2023-04-01,2023-04-04,FAC00001,MI-002,Single,MFG-003,2,3
2023-04-15,2023-04-18,FAC00001,MI-002,Single,MFG-003,11,3
2023-04-16,2023-04-19,FAC00001,MI-002,Single,MFG-003,2,3
2023-04-17,2023-04-20,FAC00001,MI-002,Single,MFG-003,1,3
2023-04-27,2023-04-30,FAC00001,MI-002,Single,MFG-003,11,3
2023-04-28,2023-05-01,FAC00001,MI-002,Single,MFG-003,1,3
2023-04-29,2023-05-02,FAC00001,MI-002,Single,MFG-003,1,3
2023-05-07,2023-05-10,FAC00001,MI-002,Single,MFG-003,11,3
2023-05-08,2023-05-11,FAC00001,MI-002,Single,MFG-003,1,3
2023-05-09,2023-05-12,FAC00001,MI-002,Single,MFG-003,2,3
2023-05-24,2023-05-27,FAC00001,MI-002,Single,MFG-003,12,3
2023-05-25,2023-05-28,FAC00001,MI-002,Single,MFG-003,2,3
2023-05-26,2023-05-29,FAC00001,MI-002,Single,MFG-003,1,3
2023-06-09,2023-06-12,FAC00001,MI-002,Single,MFG-003,11,3
2023-06-10,2023-06-13,FAC00001,MI-002,Single,MFG-003,1,3
2023-06-11,2023-06-14,FAC00001,MI-002,Single,MFG-003,1,3
2023-06-26,2023-06-29,FAC00001,MI-002,Single,MFG-003,13,3
2023-06-27,2023-06-30,FAC00001,MI-002,Single,MFG-003,2,3
2023-07-08,2023-07-11,FAC00001,MI-002,Single,MFG-003,11,3
2023-07-10,2023-07-13,FAC00001,MI-002,Single,MFG-003,1,3
2023-07-28,2023-07-31,FAC00001,MI-002,Single,MFG-003,11,3
2023-07-29,2023-08-01,FAC00001,MI-002,Single,MFG-003,2,3
2023-07-30,2023-08-02,FAC00001,MI-002,Single,MFG-003,1,3
2023-08-11,2023-08-14,FAC00001,MI-002,Single,MFG-003,11,3
2023-08-12,2023-08-15,FAC00001,MI-002,Single,MFG-003,1,3
2023-09-02,2023-09-05,FAC00001,MI-002,Single,MFG-003,12,3
2023-09-03,2023-09-06,FAC00001,MI-002,Single,MFG-003,2,3
2023-09-20,2023-09-23,FAC00001,MI-002,Single,MFG-003,11,3
2023-10-09,2023-10-12,FAC00001,MI-002,Single,MFG-003,11,3
2023-10-10,2023-10-13,FAC00001,MI-002,Single,MFG-003,1,3
2023-10-11,2023-10-14,FAC00001,MI-002,Single,MFG-003,1,3
2023-10-26,2023-10-29,FAC00001,MI-002,Single,MFG-003,11,3
2023-10-27,2023-10-30,FAC00001,MI-002,Single,MFG-003,2,3
2023-10-28,2023-10-31,FAC00001,MI-002,Single,MFG-003,1,3
2023-11-09,2023-11-12,FAC00001,MI-002,Single,MFG-003,11,3
2023-11-10,2023-11-13,FAC00001,MI-002,Single,MFG-003,1,3
2023-11-11,2023-11-14,FAC00001,MI-002,Single,MFG-003,2,3
2023-11-27,2023-11-30,FAC00001,MI-002,Single,MFG-003,11,3
2023-12-15,2023-12-18,FAC00001,MI-002,Single,MFG-003,11,3
2023-12-16,2023-12-19,FAC00001,MI-002,Single,MFG-003,1,3
2023-12-17,2023-12-20,FAC00001,MI-002,Single,MFG-003,1,3
2023-12-29,2024-01-01,FAC00001,MI-002,Single,MFG-003,11,3
2023-12-31,2024-01-03,FAC00001,MI-002,Single,MFG-003,1,3
2024-01-10,2024-01-13,FAC00001,MI-002,Single,MFG-003,12,3
2024-01-11,2024-01-14,FAC00001,MI-002,Single,MFG-003,1,3
2024-01-12,2024-01-15,FAC00001,MI-002,Single,MFG-003,2,3
2024-01-24,2024-01-27,FAC00001,MI-002,Single,MFG-003,11,3
2024-01-25,2024-01-28,FAC00001,MI-002,Single,MFG-003,1,3
2024-01-26,2024-01-29,FAC00001,MI-002,Single,MFG-003,1,3
2024-02-08,2024-02-11,FAC00001,MI-002,Single,MFG-003,11,3
2024-02-10,2024-02-13,FAC00001,MI-002,Single,MFG-003,1,3
2024-02-20,2024-02-23,FAC00001,MI-002,Single,MFG-003,12,3
2024-02-21,2024-02-24,FAC00001,MI-002,Single,MFG-003,2,3
2024-03-07,2024-03-10,FAC00001,MI-002,Single,MFG-003,12,3
2024-03-08,2024-03-11,FAC00001,MI-002,Single,MFG-003,2,3
2024-03-25,2024-03-28,FAC00001,MI-002,Single,MFG-003,11,3
2024-03-26,2024-03-29,FAC00001,MI-002,Single,MFG-003,1,3
2024-03-27,2024-03-30,FAC00001,MI-002,Single,MFG-003,2,3
2024-04-16,2024-04-19,FAC00001,MI-002,Single,MFG-003,12,3
2024-04-17,2024-04-20,FAC00001,MI-002,Single,MFG-003,1,3
2024-04-18,2024-04-21,FAC00001,MI-002,Single,MFG-003,1,3
2024-05-03,2024-05-06,FAC00001,MI-002,Single,MFG-003,11,3
2024-05-04,2024-05-07,FAC00001,MI-002,Single,MFG-003,2,3
2024-05-05,2024-05-08,FAC00001,MI-002,Single,MFG-003,1,3
2024-05-13,2024-05-16,FAC00001,MI-002,Single,MFG-003,11,3
2024-05-14,2024-05-17,FAC00001,MI-002,Single,MFG-003,1,3
2024-05-15,2024-05-18,FAC00001,MI-002,Single,MFG-003,1,3
2024-05-30,2024-06-02,FAC00001,MI-002,Single,MFG-003,12,3
2024-05-31,2024-06-03,FAC00001,MI-002,Single,MFG-003,1,3
2024-06-14,2024-06-17,FAC00001,MI-002,Single,MFG-003,11,3
2024-06-15,2024-06-18,FAC00001,MI-002,Single,MFG-003,2,3
2024-06-16,2024-06-19,FAC00001,MI-002,Single,MFG-003,1,3
2024-06-25,2024-06-28,FAC00001,MI-002,Single,MFG-003,11,3
2024-06-26,2024-06-29,FAC00001,MI-002,Single,MFG-003,1,3
2024-07-09,2024-07-12,FAC00001,MI-002,Single,MFG-003,11,3
2024-07-10,2024-07-13,FAC00001,MI-002,Single,MFG-003,2,3
2024-07-23,2024-07-26,FAC00001,MI-002,Single,MFG-003,12,3
2024-08-12,2024-08-15,FAC00001,MI-002,Single,MFG-003,11,3
2024-08-14,2024-08-17,FAC00001,MI-002,Single,MFG-003,1,3
2024-08-25,2024-08-28,FAC00001,MI-002,Single,MFG-003,12,3
2024-08-26,2024-08-29,FAC00001,MI-002,Single,MFG-003,1,3
2024-09-09,2024-09-12,FAC00001,MI-002,Single,MFG-003,12,3
2024-09-10,2024-09-13,FAC00001,MI-002,Single,MFG-003,1,3
2024-09-11,2024-09-14,FAC00001,MI-002,Single,MFG-003,2,3
2024-09-22,2024-09-25,FAC00001,MI-002,Single,MFG-003,11,3
2024-09-23,2024-09-26,FAC00001,MI-002,Single,MFG-003,2,3
2024-09-24,2024-09-27,FAC00001,MI-002,Single,MFG-003,1,3
2024-10-08,2024-10-11,FAC00001,MI-002,Single,MFG-003,11,3
2024-10-10,2024-10-13,FAC00001,MI-002,Single,MFG-003,2,3
2024-10-20,2024-10-23,FAC00001,MI-002,Single,MFG-003,12,3
2024-10-21,2024-10-24,FAC00001,MI-002,Single,MFG-003,2,3
2024-11-03,2024-11-06,FAC00001,MI-002,Single,MFG-003,11,3
2024-11-05,2024-11-08,FAC00001,MI-002,Single,MFG-003,1,3
2024-11-18,2024-11-21,FAC00001,MI-002,Single,MFG-003,11,3
2024-11-19,2024-11-22,FAC00001,MI-002,Single,MFG-003,1,3
2024-11-20,2024-11-23,FAC00001,MI-002,Single,MFG-003,2,3
2024-12-01,2024-12-04,FAC00001,MI-002,Single,MFG-003,11,3
2024-12-02,2024-12-05,FAC00001,MI-002,Single,MFG-003,1,3
2024-12-03,2024-12-06,FAC00001,MI-002,Single,MFG-003,1,3
2024-12-19,2024-12-22,FAC00001,MI-002,Single,MFG-003,11,3
2024-12-20,2024-12-23,FAC00001,MI-002,Single,MFG-003,1,3
2024-12-21,2024-12-24,FAC00001,MI-002,Single,MFG-003,1,3
2022-02-10,2022-02-15,FAC00001,MI-006,Carton,MFG-002,13,5
2022-02-11,2022-02-16,FAC00001,MI-006,Carton,MFG-002,1,5
2022-02-12,2022-02-17,FAC00001,MI-006,Carton,MFG-002,1,5
2022-03-05,2022-03-10,FAC00001,MI-006,Carton,MFG-002,14,5
2022-03-07,2022-03-12,FAC00001,MI-006,Carton,MFG-002,1,5
2022-03-08,2022-03-13,FAC00001,MI-006,Carton,MFG-002,1,5
2022-03-09,2022-03-14,FAC00001,MI-006,Carton,MFG-002,1,5
2022-03-24,2022-03-29,FAC00001,MI-006,Carton,MFG-002,14,5
2022-03-26,2022-03-31,FAC00001,MI-006,Carton,MFG-002,1,5
2022-03-27,2022-04-01,FAC00001,MI-006,Carton,MFG-002,1,5
2022-03-28,2022-04-02,FAC00001,MI-006,Carton,MFG-002,1,5
2022-04-07,2022-04-12,FAC00001,MI-006,Carton,MFG-002,14,5
2022-04-09,2022-04-14,FAC00001,MI-006,Carton,MFG-002,1,5
2022-04-10,2022-04-15,FAC00001,MI-006,Carton,MFG-002,1,5
2022-04-24,2022-04-29,FAC00001,MI-006,Carton,MFG-002,13,5
2022-04-25,2022-04-30,FAC00001,MI-006,Carton,MFG-002,1,5
2022-04-26,2022-05-01,FAC00001,MI-006,Carton,MFG-002,2,5
2022-04-27,2022-05-02,FAC00001,MI-006,Carton,MFG-002,1,5
2022-05-10,2022-05-15,FAC00001,MI-006,Carton,MFG-002,13,5
2022-05-12,2022-05-17,FAC00001,MI-006,Carton,MFG-002,1,5
2022-05-14,2022-05-19,FAC00001,MI-006,Carton,MFG-002,1,5
2022-06-01,2022-06-06,FAC00001,MI-006,Carton,MFG-002,13,5
2022-06-03,2022-06-08,FAC00001,MI-006,Carton,MFG-002,1,5
2022-06-15,2022-06-20,FAC00001,MI-006,Carton,MFG-002,13,5
2022-06-18,2022-06-23,FAC00001,MI-006,Carton,MFG-002,1,5
2022-06-19,2022-06-24,FAC00001,MI-006,Carton,MFG-002,1,5
2022-06-28,2022-07-03,FAC00001,MI-006,Carton,MFG-002,13,5
2022-06-29,2022-07-04,FAC00001,MI-006,Carton,MFG-002,1,5
2022-07-02,2022-07-07,FAC00001,MI-006,Carton,MFG-002,1,5
2022-07-18,2022-07-23,FAC00001,MI-006,Carton,MFG-002,13,5
2022-07-20,2022-07-25,FAC00001,MI-006,Carton,MFG-002,1,5
2022-07-21,2022-07-26,FAC00001,MI-006,Carton,MFG-002,1,5
2022-07-22,2022-07-27,FAC00001,MI-006,Carton,MFG-002,2,5
2022-08-08,2022-08-13,FAC00001,MI-006,Carton,MFG-002,13,5
2022-08-09,2022-08-14,FAC00001,MI-006,Carton,MFG-002,1,5
2022-08-10,2022-08-15,FAC00001,MI-006,Carton,MFG-002,1,5
2022-08-11,2022-08-16,FAC00001,MI-006,Carton,MFG-002,1,5
2022-08-12,2022-08-17,FAC00001,MI-006,Carton,MFG-002,1,5
2022-08-25,2022-08-30,FAC00001,MI-006,Carton,MFG-002,14,5
2022-08-26,2022-08-31,FAC00001,MI-006,Carton,MFG-002,2,5
2022-08-28,2022-09-02,FAC00001,MI-006,Carton,MFG-002,1,5
2022-09-14,2022-09-19,FAC00001,MI-006,Carton,MFG-002,14,5
2022-09-15,2022-09-20,FAC00001,MI-006,Carton,MFG-002,2,5
2022-10-10,2022-10-15,FAC00001,MI-006,Carton,MFG-002,13,5
2022-10-12,2022-10-17,FAC00001,MI-006,Carton,MFG-002,1,5
2022-10-29,2022-11-03,FAC00001,MI-006,Carton,MFG-002,13,5
2022-10-30,2022-11-04,FAC00001,MI-006,Carton,MFG-002,1,5
2022-10-31,2022-11-05,FAC00001,MI-006,Carton,MFG-002,1,5
2022-11-02,2022-11-07,FAC00001,MI-006,Carton,MFG-002,2,5
2022-11-12,2022-11-17,FAC00001,MI-006,Carton,MFG-002,14,5
2022-11-13,2022-11-18,FAC00001,MI-006,Carton,MFG-002,1,5
2022-11-15,2022-11-20,FAC00001,MI-006,Carton,MFG-002,1,5
2022-11-16,2022-11-21,FAC00001,MI-006,Carton,MFG-002,1,5
2022-11-27,2022-12-02,FAC00001,MI-006,Carton,MFG-002,13,5
2022-11-29,2022-12-04,FAC00001,MI-006,Carton,MFG-002,1,5
2022-12-01,2022-12-06,FAC00001,MI-006,Carton,MFG-002,1,5
2022-12-12,2022-12-17,FAC00001,MI-006,Carton,MFG-002,13,5
2022-12-15,2022-12-20,FAC00001,MI-006,Carton,MFG-002,1,5
